title,provider,category,difficulty,cost,duration,language
Using Python for Research,Harvard University,Computer Science,View All Courses,Free,4 - 8 hours per week,English
CS50 for Lawyers,Harvard University,Computer Science,View All Courses,Free,3 - 6 hours per week,English
Foundations of Animal Ethics,Yale University,Health & Medicine,Unknown,Free,Duration6 Weeks,English
Foundations of Bioethics,Yale University,Health & Medicine,Unknown,Free,"Duration4 days | May 26–29, 2026",English
"COMM.SYS.700 5G Mobile Communications, 5 cr",Tampere University,Data Processing And Information Technology,Unknown,Free,Unknown Duration,English
Python для автоматизации тестирования,Stepik,Programming,Not Specified,Free,1,Russian
Computer Vision with OpenCV and Python,Stepik,Programming,Not Specified,Free,3-5 hours a week,English
Python BIL,Stepik,Programming,Not Specified,Free,1-2,English
PlayinCode - Python(En),Stepik,Programming,Not Specified,Free,4-5 hours per week,English
QTS | Python | Grade 9,Stepik,Programming,Not Specified,Free,3-4,English
Python Programming - CBG,Stepik,Programming,Not Specified,Free,954 hours,English
QTS | Python | Grade 8,Stepik,Programming,Not Specified,Free,2-3,English
QTS | Python | Grade 7,Stepik,Programming,Not Specified,Free,2-3,English
Pythontongue for beginners,Stepik,Programming,Not Specified,Free,4-5 hours per week,English
Python,Stepik,Programming,Not Specified,Free,28 minutes,English
Introduction to Python Programming,Stepik,Programming,Not Specified,Free,1-2,English
2024 Python test - active,Stepik,Programming,Not Specified,Free,51 hours,English
"Python for beginners (Programming, NIS)",Stepik,Programming,Not Specified,Free,2,English
Python trainer,Stepik,Machine Learning,Not Specified,600.00,4-5 hours,English
ProgMine. The full course of programming Python in Minecraft,Stepik,Programming,Not Specified,2000.00,2,English
Scrapping Python quick start,Stepik,Programming,Not Specified,3300.00,10,English
Simple Python Programming,Stepik,Programming,Not Specified,Free,Unknown Duration,English
Python - Module 1 (Intro),Stepik,Programming,Not Specified,Free,4-5 часов в неделю,English
"Доп материалы, Python",Stepik,Programming,Not Specified,Free,168 hours,Russian
CSE 8A: Intro to Programming in Python - Fall 2022,Stepik,Programming,Not Specified,Free,667 hours,English
Getting started with the Vertex AI Gemini 1.5 Pro Model,Coursera,V2.Ondemand,Not Specified,Free,1 hour 30 minutes,English
SPSS: Apply & Interpret Logistic Regression Models,Coursera,V2.Ondemand,Not Specified,Free,Unknown Duration,English
Securing Compute Engine Applications and Resources using Chrome Enterprise Premium,Coursera,V2.Ondemand,Not Specified,Free,1 hour 30 minutes,English
Intégrer des applications dans votre Dashboard Hootsuite,Coursera,V2.Ondemand,Not Specified,Free,2 heures,French
Overcoming  Challenges in Self and Society,Coursera,V2.Ondemand,Not Specified,Free,"4 weeks of study, 2-4 hours a week",English
كيفية استعمال التطبيق هووتسويت,Coursera,V2.Ondemand,Not Specified,Free,2 hours,Arabic
Gamification,Coursera,V2.Ondemand,Not Specified,Free,4-8 hours/week,English
CompTIA Cybersecurity Analyst (CySA+) CS0-003: Unit 2,Coursera,V2.Ondemand,Not Specified,Free,4h 30m,English
Dealing With Missing Data,Coursera,V2.Ondemand,Not Specified,Free,"4 weeks of study, 1-2 hours/week",English
Unordered Data Structures,Coursera,V2.Ondemand,Not Specified,Free,Unknown Duration,English
